CAMPAIGN_ID,CAMPAIGN_NAME,START_DATE,END_DATE,BUDGET,CHANNEL,STATUS,TARGET_AUDIENCE,CREATED_AT
1,Seasonal Promotion 1,2024-01-02,2024-01-04,52605.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
2,Seasonal Promotion 2,2024-01-03,2024-01-06,61490.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
3,Seasonal Promotion 3,2024-01-04,2024-01-08,49077.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
4,Seasonal Promotion 4,2024-01-05,2024-01-10,11928.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
5,Seasonal Promotion 5,2024-01-06,2024-01-12,70273.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
6,Seasonal Promotion 6,2024-01-07,2024-01-14,68409.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
7,Seasonal Promotion 7,2024-01-08,2024-01-16,56621.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
8,Seasonal Promotion 8,2024-01-09,2024-01-18,21042.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
9,Seasonal Promotion 9,2024-01-10,2024-01-20,67729.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
10,Seasonal Promotion 10,2024-01-11,2024-01-22,76677.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
11,Seasonal Promotion 11,2024-01-12,2024-01-24,12166.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
12,Seasonal Promotion 12,2024-01-13,2024-01-26,11756.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
13,Seasonal Promotion 13,2024-01-14,2024-01-28,29510.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
14,Seasonal Promotion 14,2024-01-15,2024-01-30,26877.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
15,Seasonal Promotion 15,2024-01-16,2024-02-01,43048.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
101,Seasonal Promotion 16,2024-01-17,2024-02-03,44756.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
102,Seasonal Promotion 17,2024-01-18,2024-02-05,96055.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
103,Seasonal Promotion 18,2024-01-19,2024-02-07,39217.00,Affiliate,Completed,New,2025-06-01 07:11:07.140
